iter	Passed	Remaining
0	51	51224
1	52	25973
2	52	17551
3	53	13323
4	54	10781
5	54	9108
6	55	7898
7	56	7004
8	57	6287
9	57	5713
10	58	5243
11	58	4855
12	59	4519
13	60	4249
14	60	4001
15	61	3794
16	62	3603
17	63	3443
18	64	3312
19	65	3197
20	65	3074
21	66	2961
22	67	2856
23	67	2759
24	68	2673
25	69	2592
26	69	2521
27	70	2455
28	71	2388
29	71	2326
30	72	2268
31	74	2265
32	75	2217
33	76	2183
34	77	2144
35	78	2107
36	79	2066
37	80	2027
38	80	1987
39	81	1951
40	82	1924
41	83	1894
42	83	1861
43	84	1831
44	85	1808
45	85	1780
46	86	1763
47	87	1745
48	88	1727
49	89	1706
50	90	1685
51	91	1664
52	91	1643
53	92	1622
54	93	1602
55	93	1581
56	94	1566
57	95	1549
58	96	1532
59	96	1516
60	97	1502
61	98	1486
62	98	1469
63	99	1453
64	100	1439
65	100	1424
66	101	1412
67	102	1399
68	102	1386
69	103	1371
70	103	1359
71	104	1346
72	105	1338
73	106	1333
74	107	1324
75	108	1316
76	108	1306
77	109	1296
78	110	1285
79	110	1275
80	111	1265
81	112	1256
82	112	1243
83	113	1234
84	113	1225
85	114	1216
86	115	1211
87	116	1205
88	117	1197
89	117	1191
90	118	1184
91	119	1177
92	120	1175
93	121	1171
94	122	1164
95	122	1157
96	123	1152
97	124	1146
98	125	1140
99	126	1135
100	126	1129
101	127	1124
102	128	1119
103	129	1112
104	129	1106
105	130	1101
106	131	1096
107	132	1091
108	132	1085
109	133	1081
110	134	1077
111	135	1072
112	135	1066
113	136	1061
114	137	1059
115	138	1054
116	138	1048
117	139	1043
118	140	1039
119	141	1035
120	141	1031
121	142	1026
122	143	1021
123	144	1019
124	145	1016
125	145	1012
126	146	1007
127	147	1003
128	148	1000
129	149	997
130	149	993
131	150	989
132	151	984
133	152	982
134	152	979
135	153	975
136	154	971
137	155	969
138	155	965
139	156	961
140	157	958
141	157	953
142	158	950
143	159	947
144	160	945
145	160	941
146	161	938
147	162	935
148	163	932
149	164	929
150	164	927
151	165	924
152	166	920
153	167	917
154	168	916
155	168	913
156	169	910
157	170	908
158	171	905
159	171	901
160	172	896
161	173	895
162	173	892
163	174	890
164	175	887
165	176	884
166	176	882
167	177	880
168	178	877
169	179	874
170	179	871
171	180	868
172	181	866
173	182	865
174	183	862
175	183	860
176	184	859
177	185	855
178	186	853
179	186	851
180	187	848
181	188	846
182	189	844
183	189	841
184	190	839
185	191	837
186	192	837
187	193	836
188	194	834
189	195	831
190	195	829
191	196	827
192	197	824
193	198	823
194	198	820
195	199	818
196	200	816
197	200	813
198	201	811
199	202	809
200	203	807
201	203	805
202	204	803
203	205	801
204	206	800
205	207	798
206	207	796
207	208	793
208	209	791
209	210	790
210	210	787
211	211	785
212	212	784
213	212	782
214	213	780
215	214	778
216	215	776
217	215	774
218	216	771
219	216	769
220	217	767
221	218	765
222	218	763
223	219	761
224	220	759
225	221	758
226	222	756
227	222	753
228	223	751
229	223	749
230	224	747
231	224	744
232	225	742
233	226	740
234	226	738
235	227	737
236	228	735
237	228	733
238	229	730
239	229	728
240	230	726
241	231	724
242	231	722
243	232	720
244	233	718
245	233	716
246	234	714
247	235	713
248	236	712
249	236	710
250	237	707
251	237	705
252	238	703
253	238	701
254	239	699
255	239	697
256	240	695
257	241	693
258	241	691
259	242	689
260	242	687
261	243	685
262	243	683
263	244	680
264	244	678
265	245	677
266	246	675
267	246	673
268	247	672
269	247	670
270	248	668
271	249	666
272	249	665
273	250	663
274	251	661
275	251	660
276	252	658
277	252	656
278	253	654
279	253	652
280	254	650
281	254	648
282	255	647
283	256	646
284	257	644
285	257	643
286	258	641
287	258	639
288	259	637
289	259	636
290	260	634
291	261	633
292	261	631
293	262	630
294	263	629
295	264	628
296	264	626
297	265	625
298	266	624
299	266	622
300	267	621
301	268	620
302	269	619
303	269	617
304	270	616
305	271	615
306	271	613
307	272	612
308	273	610
309	273	608
310	274	607
311	274	606
312	275	604
313	276	603
314	276	601
315	277	600
316	278	599
317	278	598
318	279	596
319	280	595
320	281	594
321	281	592
322	282	591
323	283	590
324	283	589
325	284	588
326	285	587
327	285	585
328	286	584
329	287	583
330	287	581
331	289	581
332	289	580
333	290	578
334	290	577
335	291	576
336	292	575
337	293	574
338	293	573
339	294	572
340	295	570
341	296	569
342	296	568
343	297	567
344	298	566
345	298	565
346	299	563
347	300	562
348	301	561
349	301	559
350	302	558
351	302	557
352	303	556
353	304	555
354	304	554
355	305	552
356	306	551
357	307	550
358	307	549
359	308	548
360	309	547
361	309	546
362	310	544
363	311	543
364	312	542
365	312	541
366	313	540
367	314	539
368	314	538
369	315	537
370	316	536
371	316	534
372	317	533
373	317	532
374	318	530
375	319	529
376	319	528
377	320	527
378	321	526
379	321	525
380	322	523
381	323	522
382	323	521
383	324	520
